Марчук Надія Борисівна,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1358%3A2012-03-07-09-28-32&Itemid=266&lang=uk
Стась Едуард Павлович,1975-06-04,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Stas/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=2701%3A2013-02-22-07-25-35&catid=114&Itemid=266&lang=uk
Видобора Володимир Деонисович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1281%3A2012-03-05-12-46-52&Itemid=266&lang=uk
Кравець Олександр Семенович,1948-02-12,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Kravets/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1345%3A2012-03-06-15-43-49&Itemid=266&lang=uk
Музалев Віктор Михайлович,1988-10-06,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Muzalev/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1276%3A2012-03-12-08-04-32&catid=105&Itemid=266&lang=uk
Прокопенко Андрій Валерійович,,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Prokopenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1375%3A2012-03-07-10-04-12&Itemid=266&lang=uk
Левицький Ілля Юхимович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1352%3A2012-03-07-09-15-49&Itemid=266&lang=uk
Фадєєв Володимир Геннадійович,1962-06-29,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Fadeev/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1399%3A2012-03-07-10-24-35&Itemid=266&lang=uk
Паращенко Сергій Володимирович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1368%3A2012-03-07-10-00-32&Itemid=266&lang=uk
Черненко Сергій Олександрович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1403%3A2012-03-07-10-28-01&Itemid=266&lang=uk
